No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
79,Vegie-spread,15 - 625 g jars,5,43.9,219.5,8/29/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
80,Rhonbrau Klosterbier,24 - 0.5 l bottles,6,7.75,46.5,8/29/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
81,Chais,10 boxes x 20 bags,18,18,324,8/30/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
82,Alice Mutton,20 - 1 kg tins,15,39,585,8/30/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
83,Ipoh Coffee,16 - 500 g tins,15,46,690,8/30/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
84,Camembert Pierrot,15 - 300 g rounds,21,34,714,8/30/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
85,Rhonbrau Klosterbier,24 - 0.5 l bottles,6,7.75,46.5,8/30/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
86,Gnocchi di nonna Alice,24 - 250 g pkgs.,4,38,152,9/2/1996,Vins et alcools Chevalier,Paul Henriot,59 rue de l'Abbaye,Reims,51100,France,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
87,Queso Cabrales,1 kg pkg.,12,21,252,9/3/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Speedy Express,(503) 555-9831,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
88,Pavlova,32 - 500 g boxes,30,17.45,523.5,9/3/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
89,Gudbrandsdalsost,10 kg pkg.,15,36,540,9/3/1996,LILA-Supermercado,Carlos González,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,3508,Venezuela,Speedy Express,(503) 555-9831,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
90,Chartreuse verte,750 cc per bottle,60,18,1080,9/4/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
91,Mozzarella di Giovanni,24 - 200 g pkgs.,20,34.8,696,9/4/1996,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
92,Chang,24 - 12 oz bottles,40,19,760,9/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
93,Inlagd Sill,24 - 250 g jars,40,19,760,9/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
94,Raclette Courdavault,5 kg pkg.,30,55,1650,9/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
95,Tarte au sucre,48 pies,15,49.3,739.5,9/5/1996,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
96,Teatime Chocolate Biscuits,10 boxes x 12 pieces,15,9.2,138,9/6/1996,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
97,Outback Lager,24 - 355 ml bottles,20,15,300,9/6/1996,Ricardo Adocicados,Janete Limeira,"Av. Copacabana, 267",Rio de Janeiro,02389-890,Brazil,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
98,Louisiana Hot Spiced Okra,24 - 8 oz jars,30,17,510,9/9/1996,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
99,Scottish Longbreads,10 boxes x 8 pieces,20,12.5,250,9/9/1996,Magazzini Alimentari Riuniti,Giovanni Rovelli,Via Ludovico il Moro 22,Bergamo,24100,Italy,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
100,Jack's New England Clam Chowder,12 - 12 oz cans,16,9.65,154.4,7/19/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
101,Ravioli Angelo,24 - 250 g pkgs.,50,19.5,975,7/19/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
102,Tarte au sucre,48 pies,15,49.3,739.5,7/19/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
103,Outback Lager,24 - 355 ml bottles,21,15,315,7/19/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
104,Sir Rodney's Scones,24 pkgs. x 4 pieces,20,10,200,7/19/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
105,Steeleye Stout,24 - 12 oz bottles,20,18,360,7/19/1996,Que Delícia,Bernardo Batista,"Rua da Panificadora, 12",Rio de Janeiro,02389-673,Brazil,United Package,(503) 555-3199,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
106,Chef Anton's Gumbo Mix,36 boxes,12,21.35,256.2,7/22/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
107,Uncle Bob's Organic Dried Pears,12 - 1 lb pkgs.,15,30,450,7/22/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735,Produce,Dried fruit and bean curd
108,Pavlova,32 - 500 g boxes,60,17.45,1047,7/23/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
109,Fløtemysost,10 - 500 g pkgs.,2,21.5,43,9/12/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,United Package,(503) 555-3199,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
110,Carnarvon Tigers,16 kg pkg.,25,62.5,1562.5,9/13/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Seafood,Seaweed and fish
111,Thuringer Rostbratwurst,50 bags x 30 sausgs.,25,123.79,3094.75,9/13/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
112,Chartreuse verte,750 cc per bottle,30,18,540,9/13/1996,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
113,Nord-Ost Matjeshering,10 - 200 g glasses,10,25.89,258.9,9/16/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Federal Shipping,(503) 555-9931,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713,Seafood,Seaweed and fish
114,Perth Pasties,48 pieces,10,32.8,328,9/16/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Federal Shipping,(503) 555-9931,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
115,Tourtière,16 pies,5,7.45,37.25,9/16/1996,Romero y tomillo,Alejandra Camino,"Gran Vía, 1",Madrid,28001,Spain,Federal Shipping,(503) 555-9931,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
116,Tarte au sucre,48 pies,10,49.3,493,9/17/1996,Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
117,Raclette Courdavault,5 kg pkg.,30,55,1650,7/12/1996,Richter Supermarkt,Michael Holz,Grenzacherweg 237,Genève,1203,Switzerland,Federal Shipping,(503) 555-9931,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
118,Perth Pasties,48 pieces,15,32.8,492,7/15/1996,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
119,Original Frankfurter grüne Sope,12 boxes,12,13,156,7/15/1996,Wellington Importadora,Paula Parente,"Rua do Mercado, 12",Resende,08737-363,Brazil,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
120,Schoggi Schokolade,100 - 100 g pieces,25,43.9,1097.5,7/16/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
121,Boston Crab Meat,24 - 4 oz tins,10,18.4,184,9/9/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
122,Gnocchi di nonna Alice,24 - 250 g pkgs.,20,38,760,9/9/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
123,Alice Mutton,20 - 1 kg tins,40,39,1560,9/10/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
124,Rossle Sauerkraut,25 - 825 g cans,28,45.6,1276.8,9/10/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
125,Ipoh Coffee,16 - 500 g tins,12,46,552,9/10/1996,Suprêmes délices,Pascale Cartrain,"Boulevard Tirou, 255",Charleroi,B-6000,Belgium,United Package,(503) 555-3199,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,512,Singapore,555-8787,Beverages,"Soft drinks, coffees, teas, beers, and ales"
126,Boston Crab Meat,24 - 4 oz tins,40,18.4,736,9/11/1996,Godos Cocina Típica,José Pedro Freyre,"C/ Romero, 33",Sevilla,41101,Spain,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
127,Louisiana Fiery Hot Pepper Sauce,32 - 8 oz bottles,30,21.05,631.5,9/11/1996,Godos Cocina Típica,José Pedro Freyre,"C/ Romero, 33",Sevilla,41101,Spain,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
128,Scottish Longbreads,10 boxes x 8 pieces,15,12.5,187.5,9/11/1996,Godos Cocina Típica,José Pedro Freyre,"C/ Romero, 33",Sevilla,41101,Spain,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
129,Maxilaku,24 - 50 g pkgs.,30,20,600,9/12/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
130,Raclette Courdavault,5 kg pkg.,10,55,550,9/12/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,United Package,(503) 555-3199,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
131,Escargots de Bourgogne,24 pieces,30,13.25,397.5,9/25/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Escargots Nouveaux,Marie Delamare,"22, rue H. Voiron",Montceau,71300,France,85.57.00.07,Seafood,Seaweed and fish
132,Fløtemysost,10 - 500 g pkgs.,30,21.5,645,12/31/1996,Vaffeljernet,Palle Ibsen,Smagsløget 45,Århus,8200,Denmark,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
133,Chartreuse verte,750 cc per bottle,6,18,108,7/16/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68,Beverages,"Soft drinks, coffees, teas, beers, and ales"
134,Original Frankfurter grüne Sope,12 boxes,15,13,195,7/16/1996,HILARIÓN-Abastos,Carlos Hernández,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,5022,Venezuela,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
135,Chang,24 - 12 oz bottles,50,19,950,7/17/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
136,Chef Anton's Gumbo Mix,36 boxes,65,21.35,1387.75,7/17/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
137,Mascarpone Fabioli,24 - 200 g pkgs.,6,32,192,7/17/1996,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
138,Sir Rodney's Scones,24 pkgs. x 4 pieces,10,10,100,7/18/1996,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,Federal Shipping,(503) 555-9931,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
139,Gravad lax,12 - 500 g pkgs.,1,26,26,7/18/1996,Centro comercial Moctezuma,Francisco Chang,Sierras de Granada 9993,México D.F.,5022,Mexico,Federal Shipping,(503) 555-9931,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
140,Perth Pasties,48 pieces,20,32.8,656,9/23/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
141,Rhonbrau Klosterbier,24 - 0.5 l bottles,10,7.75,77.5,9/23/1996,Die Wandernde Kuh,Rita Müller,Adenauerallee 900,Stuttgart,70563,Germany,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
142,Inlagd Sill,24 - 250 g jars,12,19,228,9/24/1996,QUICK-Stop,Horst Kloss,Taucherstraße 10,Cunewalde,1307,Germany,United Package,(503) 555-3199,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67,Seafood,Seaweed and fish
143,Mascarpone Fabioli,24 - 200 g pkgs.,40,32,1280,9/25/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
144,Tarte au sucre,48 pies,25,49.3,1232.5,9/25/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
145,Sasquatch Ale,24 - 12 oz bottles,14,14,196,9/26/1996,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,United Package,(503) 555-3199,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
146,Outback Lager,24 - 355 ml bottles,30,15,450,9/26/1996,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Beverages,"Soft drinks, coffees, teas, beers, and ales"
147,Jack's New England Clam Chowder,12 - 12 oz cans,10,9.65,96.5,9/27/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
148,Tarte au sucre,48 pies,70,49.3,3451,9/27/1996,Rattlesnake Canyon Grocery,Paula Wilson,2817 Milton Dr.,Albuquerque,87110,USA,Federal Shipping,(503) 555-9931,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Confections,"Desserts, candies, and sweet breads"
149,Chais,10 boxes x 20 bags,20,18,360,9/30/1996,Lonesome Pine Restaurant,Fran Wilson,89 Chiaroscuro Rd.,Portland,97219,USA,Speedy Express,(503) 555-9831,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
150,Jack's New England Clam Chowder,12 - 12 oz cans,20,9.65,193,10/1/1996,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
151,Lakkalikoori,500 ml,6,18,108,10/1/1996,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
152,Alice Mutton,20 - 1 kg tins,8,39,312,10/2/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
153,Rossle Sauerkraut,25 - 825 g cans,14,45.6,638.4,10/2/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
154,Lakkalikoori,500 ml,30,18,540,10/2/1996,Tortuga Restaurante,Miguel Angel Paolino,Avda. Azteca 123,México D.F.,5033,Mexico,Federal Shipping,(503) 555-9931,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
155,Fløtemysost,10 - 500 g pkgs.,30,21.5,645,10/3/1996,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Federal Shipping,(503) 555-9931,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010,Dairy Products,Cheeses
156,Steeleye Stout,24 - 12 oz bottles,10,18,180,10/3/1996,Island Trading,Helen Bennett,Garden House Crowther Way,Cowes,PO31 7PJ,UK,United Package,(503) 555-3199,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
